# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0
-0.11,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,4,4,3,3,3,3,2,3,3,3,3,3,3,2,2,1,1,1,0,0,0,0,0
-0.1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,7,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0
-0.09,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,5,6,8,9,9,10,10,10,9,9,7,6,6,4,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0
-0.08,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,3,4,4,6,8,8,11,11,11,12,12,12,13,11,11,10,8,6,3,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0
-0.07,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,4,6,8,10,10,11,11,11,11,12,13,13,12,11,11,11,10,5,3,3,3,3,3,3,2,2,1,1,1,0,0,0,0
-0.06,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,6,8,10,10,10,10,11,11,11,11,13,12,12,12,11,11,11,9,4,3,3,3,3,3,2,1,1,1,2,2,0,0,0
-0.05,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,8,10,10,10,10,10,10,11,11,11,12,11,12,12,12,11,11,10,9,3,3,3,3,1,2,2,2,2,2,2,1,1,1
-0.04,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,10,10,10,10,10,10,10,10,11,10,11,11,11,11,12,11,10,10,9,4,3,3,3,3,2,2,2,2,2,2,1,1,1
